Product Id,Product Handle,Product Title,Product Subtitle,Product Status,Product External Id,Product Description,Product Is Giftcard,Product Discountable,Product Thumbnail,Product Collection Id,Product Type Id,Product Weight,Product Length,Product Height,Product Width,Product Hs Code,Product Origin Country,Product Mid Code,Product Material,Product Created At,Product Updated At,Product Deleted At,Product Image 1,Product Sales Channel 1,Variant Id,Variant Title,Variant Sku,Variant Barcode,Variant Ean,Variant Upc,Variant Allow Backorder,Variant Manage Inventory,Variant Hs Code,Variant Origin Country,Variant Mid Code,Variant Material,Variant Weight,Variant Length,Variant Height,Variant Width,Variant Metadata,Variant Variant Rank,Variant Thumbnail,Variant Product Id,Variant Created At,Variant Updated At,Variant Deleted At,Variant Price IRR,Variant Option 1 Name,Variant Option 1 Value,Variant Image 1
prod_01KY4J1PRHXD7WXJHNVQAWARBR,sandisk-ultra-flair-64gb,فلش مموری SanDisk Ultra Flair 64GB,فلش مموری USB 3.0 سن‌دیسک ظرفیت 64 گیگابایت,published,,فلش مموری SanDisk Ultra Flair با ظرفیت 64 گیگابایت و رابط USB 3.0، مناسب برای انتقال سریع و نگهداری اطلاعات.,false,true,http://localhost:9000/static/1784712059630-SanDisk-64GB-Medusa.webp,,,,,,,,,,,Wed Jul 22 2026 05:20:59 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 05:20:59 GMT-0400 (Eastern Daylight Time),,http://localhost:9000/static/1784712059630-SanDisk-64GB-Medusa.webp,sc_01KXNC30PY6T5T1RJKHBC1BJW3,variant_01KY4J1PYACYH8P3W6Y7KG20G1,فلش مموری SanDisk Ultra Flair 64GB,SDCZ73-064G,,,,false,true,,,,,,,,,,0,,prod_01KY4J1PRHXD7WXJHNVQAWARBR,Wed Jul 22 2026 05:20:59 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 05:20:59 GMT-0400 (Eastern Daylight Time),,7500000,Default option,Default option value,http://localhost:9000/static/1784712059630-SanDisk-64GB-Medusa.webp
prod_01KY4M4T3ENE202C5VD85D40DN,sony-wh-1000xm5,هدفون بی‌سیم Sony WH-1000XM5,هدفون پرچمدار سونی با نویز کنسلینگ فعال,published,,هدفون بی‌سیم Sony WH-1000XM5 با کیفیت صدای بسیار بالا، حذف نویز فعال، میکروفون پیشرفته و طراحی سبک، مناسب برای موسیقی، تماس و استفاده روزمره.,false,true,http://localhost:9000/static/1784714258510-hedphon.webp,,,,,,,,,,,Wed Jul 22 2026 05:57:38 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 05:57:38 GMT-0400 (Eastern Daylight Time),,http://localhost:9000/static/1784714258510-hedphon.webp,sc_01KXNC30PY6T5T1RJKHBC1BJW3,variant_01KY4M4T87DT6NJ4C2KY49VQE9,هدفون بی‌سیم Sony WH-1000XM5,SONY-WH1000XM5-BLK,,,,false,true,,,,,,,,,,0,,prod_01KY4M4T3ENE202C5VD85D40DN,Wed Jul 22 2026 05:57:38 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 05:57:38 GMT-0400 (Eastern Daylight Time),,250000000,Default option,Default option value,http://localhost:9000/static/1784714258510-hedphon.webp
prod_01KY4MS0B9A62TW8AR4FGFG3E1,apple-airpods-pro-2,ایرپاد Apple AirPods Pro 2,ایرپاد اپل با نویز کنسلینگ فعال و کیس شارژ USB-C,published,,ایرپاد Apple AirPods Pro 2 با کیفیت صدای بالا، حذف نویز فعال، حالت Transparency و کیس شارژ USB-C، مناسب برای موسیقی، تماس و استفاده روزمره.,false,true,http://localhost:9000/static/1784714920268-airpad.webp,,,,,,,,,,,Wed Jul 22 2026 06:08:40 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 06:08:40 GMT-0400 (Eastern Daylight Time),,http://localhost:9000/static/1784714920268-airpad.webp,sc_01KXNC30PY6T5T1RJKHBC1BJW3,variant_01KY4MS0FJWJM3J7K2FCYAM8WT,ایرپاد Apple AirPods Pro 2,APPLE-AIRPODS-PRO2-USBC,,,,false,true,,,,,,,,,,0,,prod_01KY4MS0B9A62TW8AR4FGFG3E1,Wed Jul 22 2026 06:08:40 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 06:08:40 GMT-0400 (Eastern Daylight Time),,180000000,Default option,Default option value,http://localhost:9000/static/1784714920268-airpad.webp
prod_01KY4NQ85Z3HDD2B1DR2YJD0W8,sandisk-ultra-flair-128gb,فلش مموری SanDisk Ultra Flair 128GB,فلش USB 3.0 سن‌دیسک با ظرفیت 128 گیگابایت,published,,فلش مموری SanDisk Ultra Flair با ظرفیت 128 گیگابایت و رابط USB 3.0، مناسب برای انتقال سریع فایل‌ها، ذخیره اطلاعات و استفاده روزمره.,false,true,http://localhost:9000/static/1784715911327-SanDisk-Ultra-Flair-128GB.webp,,,,,,,,,,,Wed Jul 22 2026 06:25:11 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 06:25:11 GMT-0400 (Eastern Daylight Time),,http://localhost:9000/static/1784715911327-SanDisk-Ultra-Flair-128GB.webp,sc_01KXNC30PY6T5T1RJKHBC1BJW3,variant_01KY4NQ8BREKGZ6TPDJ4ZHAR0S,فلش مموری SanDisk Ultra Flair 128GB,SDCZ73-128G,,,,false,true,,,,,,,,,,0,,prod_01KY4NQ85Z3HDD2B1DR2YJD0W8,Wed Jul 22 2026 06:25:11 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 06:25:11 GMT-0400 (Eastern Daylight Time),,11500000,Default option,Default option value,http://localhost:9000/static/1784715911327-SanDisk-Ultra-Flair-128GB.webp
prod_01KY55MK7EG7WAP0GKEJ5YPZT3,baseus-usb-c-to-usb-c-100w,کابل Baseus USB-C to USB-C 100W,کابل شارژ سریع باسئوس با توان 100 وات,published,,کابل Baseus USB-C to USB-C با پشتیبانی از شارژ سریع تا توان 100 وات، مناسب برای گوشی، تبلت و لپ‌تاپ‌های مجهز به درگاه USB-C. دارای روکش مقاوم و طراحی مناسب برای استفاده روزمره.,false,true,http://localhost:9000/static/1784732601557-Baseus-USB-C-to-USB-C-100W.webp,,,,,,,,,,,Wed Jul 22 2026 11:03:21 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 11:03:21 GMT-0400 (Eastern Daylight Time),,http://localhost:9000/static/1784732601557-Baseus-USB-C-to-USB-C-100W.webp,sc_01KXNC30PY6T5T1RJKHBC1BJW3,variant_01KY55MKC5F586FP8T11ENKW03,کابل Baseus USB-C to USB-C 100W,BASEUS-CC-100W-1M,,,,false,true,,,,,,,,,,0,,prod_01KY55MK7EG7WAP0GKEJ5YPZT3,Wed Jul 22 2026 11:03:21 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 11:03:21 GMT-0400 (Eastern Daylight Time),,6500000,Default option,Default option value,http://localhost:9000/static/1784732601557-Baseus-USB-C-to-USB-C-100W.webp
prod_01KY56ANDYRPVJ6PSYS52CXDTR,sony-dualsense-ps5-wireless-controller,دسته بازی Sony DualSense برای PS5,کنترلر بی‌سیم اصلی پلی‌استیشن 5 با بازخورد لمسی,published,,دسته بازی بی‌سیم Sony DualSense مخصوص PlayStation 5 با طراحی ارگونومیک، بازخورد لمسی پیشرفته (Haptic Feedback)، تریگرهای تطبیق‌پذیر و میکروفون داخلی؛ مناسب برای تجربه حرفه‌ای بازی روی PS5.,false,true,http://localhost:9000/static/1784733324703-Sony-DualSense-PS5.webp,,,,,,,,,,,Wed Jul 22 2026 11:15:24 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 11:15:24 GMT-0400 (Eastern Daylight Time),,http://localhost:9000/static/1784733324703-Sony-DualSense-PS5.webp,sc_01KXNC30PY6T5T1RJKHBC1BJW3,variant_01KY56ANKGRTQBDTPAY1VNERFM,دسته بازی Sony DualSense برای PS5,SONY-DUALSENSE-PS5-WHITE,,,,false,true,,,,,,,,,,0,,prod_01KY56ANDYRPVJ6PSYS52CXDTR,Wed Jul 22 2026 11:15:24 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 11:15:24 GMT-0400 (Eastern Daylight Time),,45000000,Default option,Default option value,http://localhost:9000/static/1784733324703-Sony-DualSense-PS5.webp
prod_01KY57KCSW66K9Z7WDF4YSFPGG,playstation-store-gift-card-50,گیفت کارت PlayStation Store 50 دلاری,کد دیجیتال شارژ حساب پلی‌استیشن,published,,گیفت کارت 50 دلاری PlayStation Store برای شارژ حساب پلی‌استیشن و خرید بازی، افزونه و محتوای دیجیتال از فروشگاه PlayStation Store. کد محصول به‌صورت دیجیتال تحویل داده می‌شود.,false,true,http://localhost:9000/static/1784734659357-PlayStation-Store-Gift-Card-50USD.webp,,,,,,,,,,,Wed Jul 22 2026 11:37:39 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 11:37:39 GMT-0400 (Eastern Daylight Time),,http://localhost:9000/static/1784734659357-PlayStation-Store-Gift-Card-50USD.webp,sc_01KXNC30PY6T5T1RJKHBC1BJW3,variant_01KY57KCYKWD4CYGCTDTPGTQ9Y,گیفت کارت PlayStation Store 50 دلاری,PSN-GIFT-50-USD,,,,false,false,,,,,,,,,,0,,prod_01KY57KCSW66K9Z7WDF4YSFPGG,Wed Jul 22 2026 11:37:39 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 11:37:39 GMT-0400 (Eastern Daylight Time),,55000000,Default option,Default option value,http://localhost:9000/static/1784734659357-PlayStation-Store-Gift-Card-50USD.webp
prod_01KY584M7D09XDQ6E6CQ5DMS3H,playstation-plus-extra-3-month,اکانت PlayStation Plus Extra سه‌ماهه,اشتراک ۳ ماهه پلی استیشن پلاس Extra,published,,اشتراک سه‌ماهه PlayStation Plus Extra با دسترسی به مجموعه بزرگی از بازی‌های PS4 و PS5، قابلیت بازی آنلاین و امکانات ویژه اعضای پلی استیشن پلاس.,false,true,http://localhost:9000/static/1784735224008-PlayStation-Plus-Extra-3-Month.webp,,,,,,,,,,,Wed Jul 22 2026 11:47:04 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 11:47:04 GMT-0400 (Eastern Daylight Time),,http://localhost:9000/static/1784735224008-PlayStation-Plus-Extra-3-Month.webp,sc_01KXNC30PY6T5T1RJKHBC1BJW3,variant_01KY584MD1BAPMCE8MHZGSHYPN,اکانت PlayStation Plus Extra سه‌ماهه,PSPLUS-EXTRA-3M,,,,false,false,,,,,,,,,,0,,prod_01KY584M7D09XDQ6E6CQ5DMS3H,Wed Jul 22 2026 11:47:04 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 11:47:04 GMT-0400 (Eastern Daylight Time),,18500000,Default option,Default option value,http://localhost:9000/static/1784735224008-PlayStation-Plus-Extra-3-Month.webp
prod_01KY58SGCJZ8Y2MDEQ4M55253P,windows-11-pro-license,لایسنس اورجینال Windows 11 Pro,کلید فعال‌سازی ویندوز 11 پرو,published,,لایسنس دیجیتال Windows 11 Pro مناسب فعال‌سازی ویندوز 11 پرو، با تحویل سریع کد فعال‌سازی پس از خرید.,false,true,http://localhost:9000/static/1784735908194-Windows-11-Pro-License.webp,,,,,,,,,,,Wed Jul 22 2026 11:58:28 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 11:58:28 GMT-0400 (Eastern Daylight Time),,http://localhost:9000/static/1784735908194-Windows-11-Pro-License.webp,sc_01KXNC30PY6T5T1RJKHBC1BJW3,variant_01KY58SGKAT3X7WZHSZ4QGRH86,لایسنس اورجینال Windows 11 Pro,WIN11-PRO-LICENSE,,,,false,false,,,,,,,,,,0,,prod_01KY58SGCJZ8Y2MDEQ4M55253P,Wed Jul 22 2026 11:58:28 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 11:58:28 GMT-0400 (Eastern Daylight Time),,12500000,Default option,Default option value,http://localhost:9000/static/1784735908194-Windows-11-Pro-License.webp
prod_01KY597KZ3ZCVSR3Q6BDB036DR,wd-elements-1tb-external-hard-drive,هارد اکسترنال WD Elements 1TB,هارد اکسترنال وسترن دیجیتال با ظرفیت 1 ترابایت,published,,هارد اکسترنال WD Elements با ظرفیت 1 ترابایت، مناسب برای ذخیره و انتقال فایل‌ها، عکس‌ها و ویدئوها با اتصال USB 3.0 و طراحی جمع‌وجور.,false,true,http://localhost:9000/static/1784736370617-WD-Elements-1TB.webp,,,,,,,,,,,Wed Jul 22 2026 12:06:10 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 12:06:10 GMT-0400 (Eastern Daylight Time),,http://localhost:9000/static/1784736370617-WD-Elements-1TB.webp,sc_01KXNC30PY6T5T1RJKHBC1BJW3,variant_01KY597M3D44Q2P8X7N5HMZ1GE,هارد اکسترنال WD Elements 1TB,WD-ELEMENTS-1TB,,,,false,true,,,,,,,,,,0,,prod_01KY597KZ3ZCVSR3Q6BDB036DR,Wed Jul 22 2026 12:06:10 GMT-0400 (Eastern Daylight Time),Wed Jul 22 2026 12:06:10 GMT-0400 (Eastern Daylight Time),,48000000,Default option,Default option value,http://localhost:9000/static/1784736370617-WD-Elements-1TB.webp
